le_index,we_index,length_class,numbers_length,length_unit,comments
2911,615,58.5,1,cm below,
2912,615,60.5,1,cm below,
2913,615,61.5,1,cm below,
2914,615,62.5,1,cm below,
2915,615,76.5,1,cm below,
2916,616,31.5,1,cm below,
2917,616,34.5,1,cm below,
2918,617,25.5,14,cm below,
2919,617,26.5,23,cm below,
2920,617,27.5,23,cm below,
2921,617,28.5,35,cm below,
2922,617,29.5,43,cm below,
2923,617,30.5,48,cm below,
2924,617,31.5,36,cm below,
2925,617,32.5,31,cm below,
2926,617,33.5,17,cm below,
2927,617,34.5,9,cm below,
2928,617,35.5,8,cm below,
2929,617,36.5,8,cm below,
2930,617,37.5,9,cm below,
2931,617,38.5,8,cm below,
2932,617,39.5,5,cm below,
2933,617,40.5,4,cm below,
2934,617,41.5,1,cm below,
2935,617,42.5,1,cm below,
2936,617,43.5,1,cm below,
2937,617,44.5,1,cm below,
2938,617,45.5,1,cm below,
2939,617,46.5,1,cm below,
2940,618,28.5,2,cm below,
2941,618,30.5,3,cm below,
2942,618,32.5,3,cm below,
2943,618,33.5,1,cm below,
2944,618,34.5,2,cm below,
2945,618,35.5,8,cm below,
2946,618,36.5,1,cm below,
2947,618,37.5,5,cm below,
2948,618,38.5,3,cm below,
2949,618,39.5,5,cm below,
2950,618,40.5,7,cm below,
2951,618,41.5,1,cm below,
2952,618,42.5,1,cm below,
2953,618,43.5,2,cm below,
2954,618,44.5,2,cm below,
2955,618,45.5,1,cm below,
2956,618,47.5,2,cm below,
2957,618,50.5,1,cm below,
2958,619,30.5,7,cm below,
2959,619,31.5,3,cm below,
2960,619,32.5,3,cm below,
2961,619,33.5,2,cm below,
2962,619,34.5,2,cm below,
2963,619,38.5,1,cm below,
2964,620,35.5,1,cm below,
2965,621,17.5,2,cm below,
2966,621,18.5,2,cm below,
2967,621,19.5,3,cm below,
2968,621,20.5,2,cm below,
2969,622,25.5,1,cm below,
2970,622,27.5,2,cm below,
2971,622,30.5,1,cm below,
2972,622,31.5,1,cm below,
2973,622,32.5,5,cm below,
2974,622,33.5,1,cm below,
2975,622,34.5,4,cm below,
2976,623,21.5,1,cm below,
2977,623,27.5,1,cm below,
2978,623,28.5,1,cm below,
2979,624,21.5,1,cm below,
2980,624,22.5,3,cm below,
2981,624,23.5,5,cm below,
2982,624,24.5,4,cm below,
2983,625,25.5,1,cm below,
2984,626,24.5,1,cm below,
2985,626,25.5,2,cm below,
2986,626,27.5,6,cm below,
2987,626,28.5,6,cm below,
2988,626,29.5,6,cm below,
2989,627,59.5,1,cm below,
2990,628,46.5,1,cm below,
2991,629,26.5,1,cm below,
2992,629,27.5,1,cm below,
2993,629,28.5,1,cm below,
2994,629,29.5,1,cm below,
2995,629,31.5,2,cm below,
2996,629,36.5,1,cm below,
2997,629,37.5,1,cm below,
2998,629,38.5,1,cm below,
2999,629,41.5,1,cm below,
3000,630,29.5,1,cm below,
3001,630,35.5,1,cm below,
3002,630,39.5,1,cm below,
3003,630,40.5,1,cm below,
3004,630,43.5,1,cm below,
3005,630,47.5,1,cm below,
3006,631,30.5,37,cm below,
3007,631,31.5,39,cm below,
3008,631,32.5,15,cm below,
3009,631,33.5,8,cm below,
3010,631,34.5,4,cm below,
3011,631,35.5,4,cm below,
3012,631,36.5,3,cm below,
3013,631,39.5,1,cm below,
3014,631,41.5,2,cm below,
3015,631,42.5,1,cm below,
3016,631,43.5,1,cm below,
3017,632,13.5,1,cm below,
3018,633,20.5,1,cm below,
3019,633,24.5,1,cm below,
3020,634,21.5,1,cm below,
3021,634,22.5,1,cm below,
3022,634,23.5,6,cm below,
3023,634,24.5,2,cm below,
3024,634,25.5,11,cm below,
3025,634,26.5,20,cm below,
3026,634,27.5,37,cm below,
3027,634,28.5,57,cm below,
3028,634,29.5,39,cm below,
3029,635,20.25,1,1/2 cm,
3030,635,20.75,1,1/2 cm,
3031,635,21.25,1,1/2 cm,
3032,635,22.25,1,1/2 cm,
3033,635,23.75,1,1/2 cm,
3034,635,24.25,1,1/2 cm,
3035,635,24.75,1,1/2 cm,
3036,635,27.25,1,1/2 cm,
3037,636,35.5,3,cm below,
3038,636,37.5,8,cm below,
3039,636,38.5,9,cm below,
3040,636,39.5,6,cm below,
3041,636,40.5,4,cm below,
3042,636,41.5,15,cm below,
3043,636,42.5,13,cm below,
3044,636,43.5,8,cm below,
3045,636,44.5,14,cm below,
3046,636,45.5,10,cm below,
3047,636,46.5,8,cm below,
3048,636,47.5,6,cm below,
3049,636,48.5,14,cm below,
3050,636,49.5,10,cm below,
3051,636,50.5,11,cm below,
3052,636,51.5,10,cm below,
3053,636,52.5,9,cm below,
3054,636,53.5,7,cm below,
3055,636,54.5,18,cm below,
3056,636,55.5,4,cm below,
3057,636,56.5,4,cm below,
3058,636,57.5,5,cm below,
3059,636,58.5,9,cm below,
3060,636,59.5,1,cm below,
3061,636,60.5,2,cm below,
3062,636,61.5,1,cm below,
3063,636,62.5,1,cm below,
3064,636,64.5,2,cm below,
3065,636,67.5,1,cm below,
3066,636,69.5,1,cm below,
3067,637,25.5,6,cm below,
3068,637,26.5,13,cm below,
3069,637,27.5,31,cm below,
3070,637,28.5,27,cm below,
3071,637,29.5,46,cm below,
3072,637,30.5,36,cm below,
3073,637,31.5,39,cm below,
3074,637,32.5,22,cm below,
3075,637,33.5,16,cm below,
3076,637,34.5,11,cm below,
3077,637,35.5,12,cm below,
3078,637,37.5,1,cm below,
3079,637,42.5,1,cm below,
3080,638,27.5,1,cm below,
3081,638,32.5,1,cm below,
3082,638,35.5,1,cm below,
3083,639,30.5,1,cm below,
3084,639,31.5,1,cm below,
3085,639,32.5,1,cm below,
3086,639,34.5,1,cm below,
3087,639,35.5,1,cm below,
3088,639,43.5,1,cm below,
3089,640,26.5,2,cm below,
3090,640,27.5,3,cm below,
3091,640,28.5,6,cm below,
3092,640,29.5,5,cm below,
3093,640,30.5,4,cm below,
3094,640,31.5,3,cm below,
3095,640,32.5,3,cm below,
3096,640,33.5,2,cm below,
3097,640,34.5,4,cm below,
3098,641,42.5,1,cm below,
3099,642,22.5,1,cm below,
3100,642,24.5,5,cm below,
3101,643,25.5,1,cm below,
3102,644,39.5,1,cm below,
3103,645,28.5,1,cm below,
3104,646,35.5,1,cm below,
3105,646,37.5,1,cm below,
3106,646,44.5,1,cm below,
3107,646,48.5,1,cm below,
3108,646,54.5,1,cm below,
3109,646,55.5,1,cm below,
3110,646,56.5,2,cm below,
3111,646,59.5,1,cm below,
3112,646,62.5,1,cm below,
3113,646,64.5,2,cm below,
3114,647,35.5,3,cm below,
3115,647,36.5,1,cm below,
3116,647,37.5,5,cm below,
3117,647,38.5,5,cm below,
3118,647,39.5,2,cm below,
3119,647,40.5,1,cm below,
3120,647,41.5,2,cm below,
3121,647,42.5,1,cm below,
3122,647,45.5,3,cm below,
3123,647,46.5,5,cm below,
3124,647,47.5,2,cm below,
3125,647,48.5,4,cm below,
3126,647,49.5,4,cm below,
3127,647,50.5,10,cm below,
3128,647,51.5,8,cm below,
3129,647,52.5,5,cm below,
3130,647,53.5,9,cm below,
3131,647,54.5,8,cm below,
3132,647,55.5,4,cm below,
3133,647,56.5,9,cm below,
3134,647,57.5,10,cm below,
3135,647,58.5,6,cm below,
3136,647,59.5,5,cm below,
3137,647,60.5,3,cm below,
3138,647,61.5,1,cm below,
3139,647,62.5,1,cm below,
3140,647,63.5,1,cm below,
3141,647,64.5,1,cm below,
3142,647,65.5,1,cm below,
3143,647,70.5,1,cm below,
3144,647,81.5,1,cm below,
3145,647,82.5,1,cm below,
3146,647,86.5,1,cm below,
3147,648,26.5,1,cm below,
3148,648,28.5,1,cm below,
3149,648,31.5,1,cm below,
3150,649,25.5,14,cm below,
3151,649,26.5,51,cm below,
3152,649,27.5,80,cm below,
3153,649,28.5,105,cm below,
3154,649,29.5,67,cm below,
3155,649,30.5,61,cm below,
3156,649,31.5,31,cm below,
3157,649,32.5,23,cm below,
3158,649,33.5,10,cm below,
3159,649,34.5,3,cm below,
3160,649,35.5,3,cm below,
3161,649,36.5,1,cm below,
3162,649,38.5,1,cm below,
3163,650,27.5,3,cm below,
3164,650,31.5,1,cm below,
3165,650,32.5,2,cm below,
3166,650,33.5,3,cm below,
3167,650,34.5,3,cm below,
3168,650,40.5,1,cm below,
3169,651,30.5,1,cm below,
3170,651,31.5,3,cm below,
3171,651,33.5,3,cm below,
3172,651,34.5,2,cm below,
3173,651,35.5,1,cm below,
3174,651,37.5,1,cm below,
3175,652,25.25,1,1/2 cm,
3176,653,22.5,1,cm below,
3177,653,23.5,2,cm below,
3178,653,24.5,2,cm below,
3179,653,25.5,8,cm below,
3180,653,26.5,4,cm below,
3181,653,27.5,3,cm below,
3182,653,28.5,5,cm below,
3183,653,29.5,5,cm below,
3184,653,30.5,1,cm below,
3185,653,31.5,8,cm below,
3186,653,32.5,3,cm below,
3187,653,33.5,3,cm below,
3188,654,19.5,1,cm below,
3189,654,25.5,1,cm below,
3190,654,26.5,1,cm below,
3191,654,28.5,1,cm below,
3192,654,30.5,1,cm below,
3193,655,36.5,2,cm below,
3194,656,23.5,2,cm below,
3195,656,24.5,8,cm below,
3196,657,25.5,1,cm below,
3197,658,24.5,1,cm below,
3198,658,25.5,1,cm below,
3199,658,26.5,2,cm below,
3200,658,27.5,2,cm below,
3201,658,28.5,5,cm below,
3202,658,29.5,9,cm below,
3203,659,35.5,1,cm below,
3204,660,37.5,1,cm below,
3205,660,38.5,1,cm below,
3206,660,39.5,3,cm below,
3207,660,41.5,1,cm below,
3208,660,43.5,1,cm below,
3209,661,22.5,1,cm below,
3210,662,34.5,1,cm below,
3211,663,35.5,5,cm below,
3212,663,36.5,3,cm below,
3213,663,37.5,6,cm below,
3214,663,38.5,4,cm below,
3215,663,39.5,5,cm below,
3216,663,40.5,1,cm below,
3217,663,45.5,1,cm below,
3218,663,49.5,1,cm below,
3219,663,53.5,3,cm below,
3220,663,55.5,1,cm below,
3221,663,56.5,1,cm below,
3222,663,58.5,3,cm below,
3223,663,59.5,5,cm below,
3224,663,60.5,3,cm below,
3225,663,61.5,7,cm below,
3226,663,62.5,4,cm below,
3227,663,63.5,7,cm below,
3228,663,64.5,3,cm below,
3229,663,65.5,7,cm below,
3230,663,66.5,3,cm below,
3231,663,67.5,7,cm below,
3232,663,68.5,1,cm below,
3233,663,69.5,4,cm below,
3234,663,70.5,3,cm below,
3235,663,74.5,1,cm below,
3236,663,77.5,1,cm below,
3237,663,86.5,1,cm below,
3238,664,25.5,2,cm below,
3239,664,26.5,14,cm below,
3240,664,27.5,31,cm below,
3241,664,28.5,63,cm below,
3242,664,29.5,87,cm below,
3243,664,30.5,68,cm below,
3244,664,31.5,40,cm below,
3245,664,32.5,36,cm below,
3246,664,33.5,22,cm below,
3247,664,34.5,7,cm below,
3248,664,35.5,2,cm below,
3249,664,36.5,3,cm below,
3250,664,38.5,1,cm below,
3251,665,26.5,1,cm below,
3252,665,28.5,1,cm below,
3253,665,29.5,3,cm below,
3254,665,30.5,3,cm below,
3255,665,31.5,5,cm below,
3256,665,32.5,8,cm below,
3257,665,33.5,2,cm below,
3258,665,34.5,6,cm below,
3259,665,35.5,2,cm below,
3260,665,36.5,1,cm below,
3261,665,37.5,1,cm below,
3262,665,38.5,1,cm below,
3263,665,39.5,1,cm below,
3264,666,30.5,1,cm below,
3265,668,18.75,1,1/2 cm,
3266,668,24.75,1,1/2 cm,
3267,669,22.5,1,cm below,
3268,669,24.5,3,cm below,
3269,669,25.5,7,cm below,
3270,669,26.5,6,cm below,
3271,669,27.5,5,cm below,
3272,669,28.5,4,cm below,
3273,669,29.5,8,cm below,
3274,669,30.5,10,cm below,
3275,669,31.5,6,cm below,
3276,669,32.5,3,cm below,
3277,669,33.5,5,cm below,
3278,669,34.5,2,cm below,
3279,670,25.5,2,cm below,
3280,670,28.5,1,cm below,
3281,671,27.5,1,cm below,
3282,673,25.5,1,cm below,
3283,674,23.5,1,cm below,
3284,674,29.5,1,cm below,
3285,676,37.5,1,cm below,
3286,676,40.5,1,cm below,
3287,676,46.5,1,cm below,
3288,676,50.5,1,cm below,
3289,676,52.5,1,cm below,
3290,676,53.5,1,cm below,
3291,676,54.5,1,cm below,
3292,676,55.5,1,cm below,
3293,676,56.5,1,cm below,
3294,676,63.5,1,cm below,
3295,676,71.5,1,cm below,
3296,677,26.25,1,1/2 cm,
3297,677,27.25,1,1/2 cm,
3298,677,27.75,13,1/2 cm,
3299,677,28.25,32,1/2 cm,
3300,677,28.75,36,1/2 cm,
3301,677,29.25,67,1/2 cm,
3302,677,29.75,56,1/2 cm,
3303,677,30.25,43,1/2 cm,
3304,677,30.75,29,1/2 cm,
3305,677,31.25,19,1/2 cm,
3306,677,31.75,15,1/2 cm,
3307,677,32.25,4,1/2 cm,
3308,677,32.75,1,1/2 cm,
3309,677,33.25,1,1/2 cm,
3310,680,25.75,2,1/2 cm,
3311,680,26.25,3,1/2 cm,
3312,680,26.75,6,1/2 cm,
3313,680,27.25,14,1/2 cm,
3314,680,27.75,24,1/2 cm,
3315,680,28.25,41,1/2 cm,
3316,680,28.75,60,1/2 cm,
3317,680,29.25,59,1/2 cm,
3318,680,29.75,48,1/2 cm,
3319,680,30.25,30,1/2 cm,
3320,680,30.75,22,1/2 cm,
3321,680,31.25,12,1/2 cm,
3322,680,31.75,12,1/2 cm,
3323,680,32.25,4,1/2 cm,
3324,682,23.25,1,1/2 cm,
3325,682,25.25,1,1/2 cm,
3326,682,25.75,6,1/2 cm,
3327,682,26.25,30,1/2 cm,
3328,682,26.75,55,1/2 cm,
3329,682,27.25,85,1/2 cm,
3330,682,27.75,93,1/2 cm,
3331,682,28.25,59,1/2 cm,
3332,682,28.75,33,1/2 cm,
3333,682,29.25,16,1/2 cm,
3334,682,29.75,7,1/2 cm,
3335,682,30.25,5,1/2 cm,
3336,682,30.75,3,1/2 cm,
3337,682,31.25,1,1/2 cm,
3338,684,48.5,2,cm below,
3339,684,50.5,1,cm below,
3340,684,51.5,1,cm below,
3341,684,52.5,3,cm below,
3342,686,49.5,1,cm below,
3343,686,50.5,1,cm below,
3344,686,51.5,1,cm below,
3345,686,52.5,1,cm below,
3346,686,53.5,4,cm below,
3347,686,54.5,2,cm below,
3348,686,56.5,3,cm below,
3349,686,58.5,1,cm below,
3350,686,60.5,1,cm below,
3351,697,20.5,1,cm below,
3352,697,22.5,1,cm below,
3353,699,25.5,1,cm below,
3354,701,36.5,1,cm below,
3355,703,34.5,1,cm below,
3356,692,49.5,1,cm below,
3357,692,51.5,1,cm below,
3358,694,51.5,1,cm below,
3359,694,52.5,1,cm below,
3360,694,53.5,1,cm below,
3361,708,28.5,25,cm below,
3362,708,29.5,83,cm below,
3363,708,30.5,76,cm below,
3364,708,31.5,76,cm below,
3365,708,32.5,55,cm below,
3366,708,33.5,42,cm below,
3367,708,34.5,16,cm below,
3368,708,35.5,16,cm below,
3369,708,36.5,8,cm below,
3370,708,37.5,3,cm below,
3371,708,38.5,1,cm below,
3372,708,40.5,1,cm below,
3373,711,35.5,1,cm below,
3374,711,37.5,3,cm below,
3375,711,38.5,4,cm below,
3376,711,39.5,5,cm below,
3377,711,40.5,20,cm below,
3378,711,41.5,22,cm below,
3379,711,42.5,34,cm below,
3380,711,43.5,41,cm below,
3381,711,44.5,37,cm below,
3382,711,45.5,55,cm below,
3383,711,46.5,34,cm below,
3384,711,47.5,24,cm below,
3385,711,48.5,22,cm below,
3386,711,49.5,14,cm below,
3387,711,50.5,25,cm below,
3388,711,51.5,11,cm below,
3389,711,52.5,18,cm below,
3390,711,53.5,12,cm below,
3391,711,54.5,18,cm below,
3392,711,55.5,13,cm below,
3393,711,56.5,7,cm below,
3394,711,57.5,1,cm below,
3395,711,58.5,1,cm below,
3396,711,59.5,9,cm below,
3397,711,60.5,3,cm below,
3398,711,61.5,2,cm below,
3399,711,62.5,1,cm below,
3400,711,63.5,1,cm below,
3401,711,70.5,1,cm below,
3402,711,73.5,1,cm below,
3403,714,27.5,1,cm below,
3404,714,28.5,1,cm below,
3405,714,29.5,6,cm below,
3406,714,30.5,3,cm below,
3407,714,31.5,4,cm below,
3408,714,32.5,3,cm below,
3409,714,33.5,5,cm below,
3410,714,34.5,2,cm below,
3411,714,35.5,1,cm below,
3412,719,17.5,1,cm below,
3413,719,26.5,1,cm below,
3414,719,30.5,1,cm below,
3415,719,33.5,1,cm below,
3416,720,16.5,1,cm below,
3417,720,25.5,1,cm below,
3418,724,28.5,1,cm below,
3419,725,20.5,1,cm below,
3420,733,25.5,3,cm below,
3421,733,26.5,4,cm below,
3422,733,27.5,2,cm below,
3423,733,28.5,5,cm below,
3424,733,29.5,1,cm below,
3425,733,30.5,1,cm below,
3426,733,31.5,1,cm below,
3427,733,33.5,1,cm below,
3428,734,25.5,12,cm below,
3429,734,26.5,15,cm below,
3430,734,27.5,26,cm below,
3431,734,28.5,29,cm below,
3432,734,29.5,26,cm below,
3433,734,30.5,20,cm below,
3434,734,31.5,20,cm below,
3435,734,32.5,16,cm below,
3436,734,33.5,4,cm below,
3437,734,34.5,4,cm below,
3438,734,35.5,1,cm below,
3439,734,36.5,2,cm below,
3440,734,37.5,1,cm below,
3441,734,40.5,1,cm below,
3442,735,26.5,24,cm below,
3443,735,27.5,27,cm below,
3444,735,28.5,46,cm below,
3445,735,29.5,53,cm below,
3446,735,30.5,56,cm below,
3447,735,31.5,44,cm below,
3448,735,32.5,24,cm below,
3449,735,33.5,27,cm below,
3450,735,34.5,17,cm below,
3451,735,35.5,14,cm below,
3452,735,36.5,14,cm below,
3453,735,37.5,6,cm below,
3454,735,38.5,5,cm below,
3455,735,39.5,9,cm below,
3456,735,40.5,3,cm below,
3457,735,41.5,3,cm below,
3458,735,42.5,1,cm below,
3459,735,43.5,1,cm below,
3460,735,44.5,1,cm below,
3461,735,45.5,2,cm below,
3462,736,36.5,1,cm below,
3463,818,19.5,1,cm below,
3464,818,21.5,1,cm below,
3465,818,22.5,3,cm below,
3466,818,23.5,6,cm below,
3467,818,24.5,5,cm below,
3468,819,22.5,1,cm below,
3469,819,23.5,3,cm below,
3470,819,24.5,3,cm below,
3471,820,22.5,1,cm below,
3472,820,23.5,2,cm below,
3473,820,24.5,3,cm below,
3474,820,26.5,2,cm below,
3475,820,29.5,1,cm below,
3476,821,24.5,1,cm below,
3477,821,25.5,1,cm below,
3478,821,27.5,1,cm below,
3479,733,25.5,3,cm below,
3480,733,26.5,4,cm below,
3481,733,27.5,2,cm below,
3482,733,28.5,5,cm below,
3483,733,29.5,1,cm below,
3484,733,30.5,1,cm below,
3485,733,31.5,1,cm below,
3486,733,33.5,1,cm below,
3487,734,25.5,12,cm below,
3488,734,26.5,15,cm below,
3489,734,27.5,26,cm below,
3490,734,28.5,29,cm below,
3491,734,29.5,26,cm below,
3492,734,30.5,20,cm below,
3493,734,31.5,20,cm below,
3494,734,32.5,16,cm below,
3495,734,33.5,4,cm below,
3496,734,34.5,4,cm below,
3497,734,35.5,1,cm below,
3498,734,36.5,2,cm below,
3499,734,37.5,1,cm below,
3500,734,40.5,1,cm below,
3501,735,26.5,24,cm below,
3502,735,27.5,27,cm below,
3503,735,28.5,46,cm below,
3504,735,29.5,53,cm below,
3505,735,30.5,56,cm below,
3506,735,31.5,44,cm below,
3507,735,32.5,24,cm below,
3508,735,33.5,27,cm below,
3509,735,34.5,17,cm below,
3510,735,35.5,14,cm below,
3511,735,36.5,14,cm below,
3512,735,37.5,6,cm below,
3513,735,38.5,5,cm below,
3514,735,39.5,9,cm below,
3515,735,40.5,3,cm below,
3516,735,41.5,3,cm below,
3517,735,42.5,1,cm below,
3518,735,43.5,1,cm below,
3519,735,44.5,1,cm below,
3520,735,45.5,2,cm below,
3521,736,36.5,1,cm below,
3522,818,19.5,1,cm below,
3523,818,21.5,1,cm below,
3524,818,22.5,3,cm below,
3525,818,23.5,6,cm below,
3526,818,24.5,5,cm below,
3527,819,22.5,1,cm below,
3528,819,23.5,3,cm below,
3529,819,24.5,3,cm below,
3530,820,22.5,1,cm below,
3531,820,23.5,2,cm below,
3532,820,24.5,3,cm below,
3533,820,26.5,2,cm below,
3534,820,29.5,1,cm below,
3535,821,24.5,1,cm below,
3536,821,25.5,1,cm below,
3537,821,27.5,1,cm below,
3538,747,25.5,5,cm below,
3539,747,26.5,6,cm below,
3540,747,27.5,6,cm below,
3541,747,28.5,2,cm below,
3542,747,29.5,3,cm below,
3543,747,30.5,2,cm below,
3544,747,31.5,2,cm below,
3545,747,32.5,1,cm below,
3546,750,25.5,8,cm below,
3547,750,26.5,14,cm below,
3548,750,27.5,23,cm below,
3549,750,28.5,30,cm below,
3550,750,29.5,24,cm below,
3551,750,30.5,23,cm below,
3552,750,31.5,14,cm below,
3553,750,32.5,16,cm below,
3554,750,33.5,12,cm below,
3555,750,34.5,10,cm below,
3556,750,35.5,3,cm below,
3557,750,36.5,1,cm below,
3558,751,26.5,37,cm below,
3559,751,27.5,43,cm below,
3560,751,28.5,44,cm below,
3561,751,29.5,64,cm below,
3562,751,30.5,52,cm below,
3563,751,31.5,41,cm below,
3564,751,32.5,29,cm below,
3565,751,33.5,24,cm below,
3566,751,34.5,17,cm below,
3567,751,35.5,18,cm below,
3568,751,36.5,10,cm below,
3569,751,37.5,9,cm below,
3570,751,38.5,2,cm below,
3571,751,39.5,7,cm below,
3572,751,40.5,5,cm below,
3573,751,42.5,4,cm below,
3574,751,44.5,1,cm below,
3575,751,45.5,2,cm below,
3576,751,47.5,1,cm below,
3577,751,48.5,1,cm below,
3578,830,23.5,1,cm below,
3579,830,29.5,1,cm below,
3580,832,15.5,1,cm below,
3581,832,22.5,1,cm below,
3582,833,14.5,1,cm below,
3583,834,19.5,1,cm below,
3584,834,21.5,2,cm below,
3585,834,22.5,1,cm below,
3586,834,23.5,4,cm below,
3587,834,24.5,8,cm below,
3588,835,22.5,1,cm below,
3589,835,23.5,2,cm below,
3590,835,24.5,5,cm below,
3591,836,22.5,1,cm below,
3592,836,25.5,1,cm below,
3593,836,26.5,1,cm below,
3594,836,27.5,1,cm below,
3595,836,28.5,3,cm below,
3596,837,23.5,1,cm below,
3597,837,24.5,1,cm below,
3598,837,26.5,2,cm below,
3599,837,27.5,1,cm below,
3600,837,28.5,1,cm below,
3601,747,25.5,5,cm below,
3602,747,26.5,6,cm below,
3603,747,27.5,6,cm below,
3604,747,28.5,2,cm below,
3605,747,29.5,3,cm below,
3606,747,30.5,2,cm below,
3607,747,31.5,2,cm below,
3608,747,32.5,1,cm below,
3609,750,25.5,8,cm below,
3610,750,26.5,14,cm below,
3611,750,27.5,23,cm below,
3612,750,28.5,30,cm below,
3613,750,29.5,24,cm below,
3614,750,30.5,23,cm below,
3615,750,31.5,14,cm below,
3616,750,32.5,16,cm below,
3617,750,33.5,12,cm below,
3618,750,34.5,10,cm below,
3619,750,35.5,3,cm below,
3620,750,36.5,1,cm below,
3621,751,26.5,37,cm below,
3622,751,27.5,43,cm below,
3623,751,28.5,44,cm below,
3624,751,29.5,64,cm below,
3625,751,30.5,52,cm below,
3626,751,31.5,41,cm below,
3627,751,32.5,29,cm below,
3628,751,33.5,24,cm below,
3629,751,34.5,17,cm below,
3630,751,35.5,18,cm below,
3631,751,36.5,10,cm below,
3632,751,37.5,9,cm below,
3633,751,38.5,2,cm below,
3634,751,39.5,7,cm below,
3635,751,40.5,5,cm below,
3636,751,42.5,4,cm below,
3637,751,44.5,1,cm below,
3638,751,45.5,2,cm below,
3639,751,47.5,1,cm below,
3640,751,48.5,1,cm below,
3641,830,23.5,1,cm below,
3642,830,29.5,1,cm below,
3643,832,15.5,1,cm below,
3644,832,22.5,1,cm below,
3645,833,14.5,1,cm below,
3646,834,19.5,1,cm below,
3647,834,21.5,2,cm below,
3648,834,22.5,1,cm below,
3649,834,23.5,4,cm below,
3650,834,24.5,8,cm below,
3651,835,22.5,1,cm below,
3652,835,23.5,2,cm below,
3653,835,24.5,5,cm below,
3654,836,22.5,1,cm below,
3655,836,25.5,1,cm below,
3656,836,26.5,1,cm below,
3657,836,27.5,1,cm below,
3658,836,28.5,3,cm below,
3659,837,23.5,1,cm below,
3660,837,24.5,1,cm below,
3661,837,26.5,2,cm below,
3662,837,27.5,1,cm below,
3663,837,28.5,1,cm below,
3664,755,25.5,15,cm below,
3665,755,26.5,31,cm below,
3666,755,27.5,23,cm below,
3667,755,28.5,40,cm below,
3668,755,29.5,31,cm below,
3669,755,30.5,21,cm below,
3670,755,31.5,16,cm below,
3671,755,32.5,4,cm below,
3672,755,33.5,3,cm below,
3673,757,25.5,10,cm below,
3674,757,26.5,6,cm below,
3675,757,27.5,10,cm below,
3676,757,28.5,10,cm below,
3677,757,29.5,11,cm below,
3678,757,30.5,7,cm below,
3679,757,31.5,11,cm below,
3680,757,32.5,4,cm below,
3681,757,33.5,6,cm below,
3682,757,34.5,3,cm below,
3683,757,35.5,2,cm below,
3684,757,36.5,1,cm below,
3685,757,37.5,1,cm below,
3686,757,41.5,1,cm below,
3687,758,26.5,3,cm below,
3688,758,27.5,15,cm below,
3689,758,28.5,18,cm below,
3690,758,29.5,20,cm below,
3691,758,30.5,15,cm below,
3692,758,31.5,23,cm below,
3693,758,32.5,15,cm below,
3694,758,33.5,10,cm below,
3695,758,34.5,9,cm below,
3696,758,35.5,5,cm below,
3697,758,36.5,4,cm below,
3698,758,37.5,6,cm below,
3699,758,38.5,1,cm below,
3700,758,39.5,1,cm below,
3701,758,40.5,2,cm below,
3702,758,41.5,1,cm below,
3703,758,42.5,2,cm below,
3704,759,30.5,1,cm below,
3705,759,32.5,1,cm below,
3706,759,35.5,1,cm below,
3707,759,36.5,1,cm below,
3708,759,37.5,1,cm below,
3709,760,32.5,1,cm below,
3710,838,25.5,2,cm below,
3711,838,26.5,2,cm below,
3712,838,27.5,1,cm below,
3713,838,28.5,3,cm below,
3714,838,29.5,5,cm below,
3715,838,30.5,7,cm below,
3716,838,31.5,3,cm below,
3717,838,32.5,7,cm below,
3718,838,33.5,15,cm below,
3719,838,34.5,11,cm below,
3720,839,22.5,1,cm below,
3721,839,23.5,7,cm below,
3722,839,24.5,4,cm below,
3723,840,20.5,2,cm below,
3724,840,23.5,1,cm below,
3725,840,24.5,1,cm below,
3726,840,25.5,1,cm below,
3727,840,26.5,1,cm below,
3728,840,31.5,1,cm below,
3729,840,32.5,1,cm below,
3730,841,21.5,1,cm below,
3731,841,22.5,1,cm below,
3732,841,23.5,2,cm below,
3733,841,24.5,6,cm below,
3734,842,22.5,1,cm below,
3735,842,24.5,1,cm below,
3736,843,20.5,2,cm below,
3737,843,21.5,3,cm below,
3738,843,22.5,3,cm below,
3739,843,23.5,7,cm below,
3740,843,24.5,13,cm below,
3741,843,25.5,5,cm below,
3742,843,26.5,3,cm below,
3743,843,27.5,5,cm below,
3744,843,28.5,3,cm below,
3745,843,29.5,3,cm below,
3746,844,22.5,1,cm below,
3747,844,24.5,1,cm below,
3748,844,25.5,3,cm below,
3749,844,26.5,3,cm below,
3750,844,27.5,3,cm below,
3751,844,28.5,2,cm below,
3752,770,26.5,1,cm below,
3753,770,27.5,1,cm below,
3754,770,28.5,2,cm below,
3755,770,29.5,1,cm below,
3756,770,30.5,1,cm below,
3757,772,25.5,4,cm below,
3758,772,26.5,15,cm below,
3759,772,27.5,16,cm below,
3760,772,28.5,17,cm below,
3761,772,29.5,11,cm below,
3762,772,30.5,15,cm below,
3763,772,31.5,5,cm below,
3764,772,32.5,11,cm below,
3765,772,33.5,4,cm below,
3766,772,34.5,2,cm below,
3767,772,35.5,5,cm below,
3768,772,37.5,1,cm below,
3769,772,38.5,1,cm below,
3770,773,26.5,2,cm below,
3771,773,27.5,7,cm below,
3772,773,28.5,14,cm below,
3773,773,29.5,16,cm below,
