tr_index;year;trip_number;eunr;vessel_name;vessel_sign;start_date;end_date;start_loc;end_loc;observer;trip_valid;trip_type
238;2017;40626;DEU000010054;vessel54;fkz54;2017-12-19;2017-12-19;DEHAR24;DEHAR24;HGM;t;
239;2017;40641;DEU000010054;vessel54;fkz54;2017-12-11;2017-12-12;DEHAR24;DEHAR24;DEM;t;
240;2019;40817;DEU000010054;vessel54;fkz54;2019-04-07;2019-04-07;DEHER;DEHER;HER;t;
241;2019;20306;DEU000010055;vessel55;fkz55;2019-02-04;2019-02-04;DEHAR20;DEHAR20;HGH;t;
242;2019;20322;DEU000010056;vessel56;fkz56;2019-07-14;2019-07-16;DEHAR26;DEHAR26;HGH;t;
243;2019;20338;DEU000010056;vessel56;fkz56;2019-12-01;2019-12-03;DEHAR26;DEHAR26;HGH;t;
244;2018;20801;DEU000010056;vessel56;fkz56;2018-02-18;2018-02-19;DEHER;DEHER;HER;t;
245;2019;20801;DEU000010056;vessel56;fkz56;2019-02-26;2019-02-27;DEHER;DEHER;HER;t;
246;2017;20802;DEU000010056;vessel56;fkz56;2017-03-06;2017-03-07;DEHER;DEHER;HER;t;
247;2018;20802;DEU000010056;vessel56;fkz56;2018-04-04;2018-04-05;DEHER;DEHER;HER;t;
248;2018;20803;DEU000010056;vessel56;fkz56;2018-04-14;2018-04-15;DEHER;DEHER;HER;t;
249;2018;20804;DEU000010056;vessel56;fkz56;2018-05-03;2018-05-04;DEHER;DEHER;HER;t;
250;2019;20804;DEU000010056;vessel56;fkz56;2019-04-01;2019-04-02;DEHER;DEHER;HER;t;
251;2017;20806;DEU000010056;vessel56;fkz56;2017-04-04;2017-04-05;DEHER;DEHER;HER;t;
252;2017;20807;DEU000010056;vessel56;fkz56;2017-04-16;2017-04-17;DEHER;DEHER;HER;t;
253;2019;20303;DEU000010057;vessel57;fkz57;2019-01-19;2019-01-21;DEHAR26;DEHAR26;HGH;t;
254;2018;20324;DEU000010057;vessel57;fkz57;2018-07-31;2018-08-02;DEHAR26;DEHAR26;DEM;t;
255;2019;20401;DEU000010057;vessel57;fkz57;2019-01-19;2019-01-19;DEHAR26;DEHAR26;JNK;t;
256;2018;20404;DEU000010057;vessel57;fkz57;2018-04-26;2018-04-26;DEHAR26;DEHAR26;JNK;t;
257;2017;20609;DEU000010057;vessel57;fkz57;2017-02-15;2017-02-15;DEHAR26;DEHAR26;HGM;t;
258;2019;20802;DEU000010057;vessel57;fkz57;2019-03-19;2019-03-20;DEHER;DEHER;HER;t;
259;2017;20805;DEU000010057;vessel57;fkz57;2017-03-21;2017-03-22;DEHER;DEHER;HER;t;
260;2019;20305;DEU000010058;vessel58;fkz58;2019-01-28;2019-01-29;DEHAR3;DEHAR3;HGH;t;
261;2019;20601;DEU000010058;vessel58;fkz58;2019-03-20;2019-03-20;DEHAR3;DEHAR3;CNR;t;
262;2018;20602;DEU000010058;vessel58;fkz58;2018-07-25;2018-07-25;DEHAR3;DEHAR3;CNR;t;
263;2019;20602;DEU000010058;vessel58;fkz58;2019-04-10;2019-04-10;DEHAR3;DEHAR3;CNR;t;
264;2019;20609;DEU000010058;vessel58;fkz58;2019-08-01;2019-08-01;DEHAR3;DEHAR3;CNR;t;
265;2019;20611;DEU000010058;vessel58;fkz58;2019-09-26;2019-09-26;DEHAR3;DEHAR3;CNR;t;
266;2017;20614;DEU000010059;vessel59;fkz59;2017-04-27;2017-04-27;DEHAR2;DEHAR2;HGM;t;
267;2017;21101;DEU000010059;vessel59;fkz59;2017-04-10;2017-04-10;DEHAR2;DEHAR2;FNK;t;
268;2017;21102;DEU000010059;vessel59;fkz59;2017-05-15;2017-05-15;DEHAR2;DEHAR2;FNK;t;
269;2017;21103;DEU000010059;vessel59;fkz59;2017-05-15;2017-05-15;DEHAR2;DEHAR2;FNK;t;
270;2019;20404;DEU000010060;vessel60;fkz60;2019-01-25;2019-01-25;DEHAR26;DEHAR26;JNK;t;
271;2017;20602;DEU000010060;vessel60;fkz60;2017-01-18;2017-01-18;DEHAR26;DEHAR26;HGM;t;
272;2017;20603;DEU000010060;vessel60;fkz60;2017-01-18;2017-01-18;DEHAR26;DEHAR26;HGM;t;
273;2018;20605;DEU000010061;vessel61;fkz61;2018-10-10;2018-10-10;DEHAR26;DEHAR26;CNR;t;
274;2017;20606;DEU000010062;vessel62;fkz62;2017-01-23;2017-01-23;DEHAR26;DEHAR26;HGM;t;
275;2017;20607;DEU000010062;vessel62;fkz62;2017-01-23;2017-01-23;DEHAR26;DEHAR26;HGM;t;
276;2017;20624;DEU000010062;vessel62;fkz62;2017-11-14;2017-11-14;DEHAR26;DEHAR26;HGM;t;
277;2017;20604;DEU000010063;vessel63;fkz63;2017-01-21;2017-01-21;DEHAR8;DEHAR8;HGM;t;
278;2017;20605;DEU000010063;vessel63;fkz63;2017-01-19;2017-01-21;DEHAR8;DEHAR8;HGM;t;
279;2017;20621;DEU000010063;vessel63;fkz63;2017-10-10;2017-10-10;DEHAR8;DEHAR8;HGM;t;
280;2017;20622;DEU000010063;vessel63;fkz63;2017-10-10;2017-10-10;DEHAR8;DEHAR8;HGM;t;
281;2017;20623;DEU000010063;vessel63;fkz63;2017-10-10;2017-10-10;DEHAR8;DEHAR8;HGM;t;
282;2019;20328;DEU000010064;vessel64;fkz64;2019-09-21;2019-09-22;DEHAR3;DEHAR3;HGH;t;
283;2018;20335;DEU000010064;vessel64;fkz64;2018-11-09;2018-11-10;DEHAR3;DEHAR3;HGH;t;
284;2019;20402;DEU000010064;vessel64;fkz64;2019-01-20;2019-01-20;DEHAR3;DEHAR3;JNK;t;
285;2018;20405;DEU000010064;vessel64;fkz64;2018-06-12;2018-06-12;DEHAR3;DEHAR3;JNK;t;
286;2019;20408;DEU000010064;vessel64;fkz64;2019-06-07;2019-06-07;DEHAR3;DEHAR3;JNK;t;
287;2017;20501;DEU000010064;vessel64;fkz64;2017-07-18;2017-07-19;DEHAR3;DEHAR3; ;t;
288;2017;20502;DEU000010064;vessel64;fkz64;2017-08-11;2017-08-11;DEHAR3;DEHAR3;RHD;t;
289;2017;20503;DEU000010064;vessel64;fkz64;2017-08-30;2017-08-30;DEHAR3;DEHAR3;RHD;t;
290;2017;20504;DEU000010064;vessel64;fkz64;2017-09-18;2017-09-18;DEHAR3;DEHAR3;RHD;t;
291;2019;20610;DEU000010064;vessel64;fkz64;2019-08-02;2019-08-02;DEHAR3;DEHAR3;CNR;t;
292;2017;21301;DEU000010064;vessel64;fkz64;2017-08-17;2017-08-17;DEHAR3;DEHAR3;HNN;t;
293;2017;21302;DEU000010064;vessel64;fkz64;2017-10-10;2017-10-10;DEHAR3;DEHAR3;HNN;t;
294;2019;20301;DEU000010065;vessel65;fkz65;2019-01-07;2019-01-07;DEHAR10;DEHAR10;HGH;t;
295;2018;20307;DEU000010065;vessel65;fkz65;2018-01-29;2018-01-30;DEHAR10;DEHAR10;DEM;t;
296;2017;20311;DEU000010065;vessel65;fkz65;2017-04-05;2017-04-05;DEHAR10;DEHAR10;DEM;t;
297;2018;20312;DEU000010065;vessel65;fkz65;2018-04-09;2018-04-09;DEHAR10;DEHAR10;DEM;t;
298;2019;20332;DEU000010065;vessel65;fkz65;2019-10-15;2019-10-16;DEHAR10;DEHAR10;HGH;t;
299;2017;50309;DEU000010065;vessel65;fkz65;2017-03-16;2017-03-16;DEHAR10;DEHAR10;DEM;t;
300;2017;20401;DEU000010066;vessel66;fkz66;2017-01-11;2017-01-15;DEHAR10;DEHAR10;JNK;t;
301;2017;50308;DEU000010066;vessel66;fkz66;2017-02-19;2017-02-19;DEHAR10;DEHAR10;DEM;t;
302;2017;50402;DEU000010066;vessel66;fkz66;2017-02-08;2017-02-14;DEHAR10;DEHAR10;JNK;t;
303;2019;20318;DEU000010067;vessel67;fkz67;2019-06-17;2019-06-18;DEHAR4;DEHAR4;HGH;t;
304;2019;20339;DEU000010067;vessel67;fkz67;2019-12-03;2019-12-04;DEHAR4;DEHAR4;HGH;t;
305;2019;20407;DEU000010067;vessel67;fkz67;2019-05-24;2019-05-24;DEHAR4;DEHAR4;JNK;t;
306;2019;20410;DEU000010067;vessel67;fkz67;2019-11-21;2019-11-21;DEHAR4;DEHAR4;JNK;t;
307;2019;20308;DEU000010068;vessel68;fkz68;2019-02-19;2019-02-20;DEHAR8;DEHAR8;HGH;t;
308;2019;20403;DEU000010068;vessel68;fkz68;2019-01-24;2019-01-24;DEHAR8;DEHAR8;JNK;t;
309;2017;20608;DEU000010068;vessel68;fkz68;2017-01-23;2017-01-23;DEHAR21;DEHAR21;HGM;t;
310;2017;20615;DEU000010069;vessel69;fkz69;2017-04-28;2017-04-28;DEHAR2;DEHAR2;HGM;t;
311;2017;20616;DEU000010069;vessel69;fkz69;2017-04-28;2017-04-28;DEHAR2;DEHAR2;HGM;t;
312;2017;40807;DEU000010070;vessel70;fkz70;2017-03-05;2017-03-06;DEHER;DEHER;HER;t;
313;2017;50909;DEU000010071;vessel71;fkz71;2017-02-27;2017-02-27;DESPR;DESPR;SPR;t;
314;2017;60911;DEU000010071;vessel71;fkz71;2017-03-22;2017-03-22;DESPR;DESPR;SPR;t;
315;2017;60912;DEU000010071;vessel71;fkz71;2017-04-14;2017-04-14;DESPR;DESPR;SPR;t;
316;2018;60912;DEU000010071;vessel71;fkz71;2018-04-18;2018-04-18;DESPR;DESPR;SPR;t;
317;2017;60913;DEU000010071;vessel71;fkz71;2017-04-22;2017-04-22;DESPR;DESPR;SPR;t;
318;2018;60913;DEU000010071;vessel71;fkz71;2018-04-18;2018-04-18;DESPR;DESPR;SPR;t;
319;2017;60914;DEU000010071;vessel71;fkz71;2017-05-12;2017-05-12;DESPR;DESPR;SPR;t;
320;2018;60914;DEU000010071;vessel71;fkz71;2018-05-07;2018-05-07;DESPR;DESPR;SPR;t;
321;2017;80905;DEU000010071;vessel71;fkz71;2017-02-03;2017-02-03;DESPR;DESPR;SPR;t;
322;2017;80910;DEU000010071;vessel71;fkz71;2017-03-09;2017-03-09;DESPR;DESPR;SPR;t;
323;2017;90903;DEU000010071;vessel71;fkz71;2017-01-08;2017-02-08;DESPR;DESPR;SPR;t;
324;2018;20301;DEU000010072;vessel72;fkz72;2018-01-06;2018-01-06;DEHAR11;DEHAR11;DEM;t;
325;2017;20302;DEU000010072;vessel72;fkz72;2017-01-10;2017-01-10;DEHAR11;DEHAR11;DEM;t;
326;2019;20309;DEU000010072;vessel72;fkz72;2019-02-26;2019-02-26;DEHAR11;DEHAR11;HGH;t;
327;2017;20313;DEU000010072;vessel72;fkz72;2017-05-11;2017-05-11;DEHAR11;DEHAR11;DEM;t;
328;2018;20313;DEU000010072;vessel72;fkz72;2018-04-17;2018-04-17;DEHAR11;DEHAR11;DEM;t;
329;2019;20327;DEU000010072;vessel72;fkz72;2019-08-28;2019-08-28;DEHAR11;DEHAR11;HGH;t;
330;2017;20343;DEU000010072;vessel72;fkz72;2017-12-20;2017-12-20;DEHAR11;DEHAR11;DEM;t;
331;2019;20901;DEU000010072;vessel72;fkz72;2019-02-12;2019-02-12;DESPR;DESPR;SPR;t;
332;2019;20317;DEU000010073;vessel73;fkz73;2019-05-27;2019-05-28;DEHAR26;DEHAR26;HGH;t;
333;2019;40607;DEU000010074;vessel74;fkz74;2019-07-18;2019-07-18;DEHAR23;DEHAR23;CNR;t;
334;2019;40612;DEU000010074;vessel74;fkz74;2019-10-07;2019-10-07;DEHAR22;DEHAR22;CNR;t;
335;2017;40337;DEU000010075;vessel75;fkz75;2017-10-23;2017-10-24;DEHAR1;DEHAR1;DEM;t;
336;2018;40805;DEU000010075;vessel75;fkz75;2018-02-18;2018-02-19;DEHER;DEHER;HER;t;
337;2017;50908;DEU000010076;vessel76;fkz76;2017-02-18;2017-02-18;DESPR;DESPR;SPR;t;
338;2018;50910;DEU000010076;vessel76;fkz76;2018-04-08;2018-04-08;DESPR;DESPR;SPR;t;
339;2018;50911;DEU000010076;vessel76;fkz76;2018-04-29;2018-04-29;DESPR;DESPR;SPR;t;
340;2017;60902;DEU000010076;vessel76;fkz76;2017-01-23;2017-01-24;DESPR;DESPR;SPR;t;
341;2018;60904;DEU000010076;vessel76;fkz76;2018-02-09;2018-02-09;DESPR;DESPR;SPR;t;
342;2018;60905;DEU000010076;vessel76;fkz76;2018-02-16;2018-02-18;DESPR;DESPR;SPR;t;
343;2017;60907;DEU000010076;vessel76;fkz76;2017-02-17;2017-02-17;DESPR;DESPR;SPR;t;
344;2018;60907;DEU000010076;vessel76;fkz76;2018-03-05;2018-03-18;DESPR;DESPR;SPR;t;
345;2018;60908;DEU000010076;vessel76;fkz76;2018-03-19;2018-03-19;DESPR;DESPR;SPR;t;
346;2018;70906;DEU000010076;vessel76;fkz76;2018-03-26;2018-03-27;DESPR;DESPR;SPR;t;
347;2018;70909;DEU000010076;vessel76;fkz76;2018-04-06;2018-04-06;DESPR;DESPR;SPR;t;
348;2018;80903;DEU000010076;vessel76;fkz76;2018-01-11;2018-01-11;DESPR;DESPR;SPR;t;
349;2017;80904;DEU000010076;vessel76;fkz76;2017-01-02;2017-01-02;DESPR;DESPR;SPR;t;
350;2017;80906;DEU000010076;vessel76;fkz76;2017-02-09;2017-02-10;DESPR;DESPR;SPR;t;
351;2017;90901;DEU000010076;vessel76;fkz76;2017-01-15;2017-01-15;DESPR;DESPR;SPR;t;
352;2019;50910;DEU000010077;vessel77;fkz77;2019-03-23;2019-03-23;DESPR;DESPR;SPR;t;
353;2019;60904;DEU000010077;vessel77;fkz77;2019-02-26;2019-02-27;DESPR;DESPR;SPR;t;
354;2019;60905;DEU000010077;vessel77;fkz77;2019-03-05;2019-03-05;DESPR;DESPR;SPR;t;
355;2019;60906;DEU000010077;vessel77;fkz77;2019-03-06;2019-03-07;DESPR;DESPR;SPR;t;
356;2019;60909;DEU000010077;vessel77;fkz77;2019-03-22;2019-03-22;DESPR;DESPR;SPR;t;
357;2019;60914;DEU000010077;vessel77;fkz77;2019-04-03;2019-04-04;DESPR;DESPR;SPR;t;
358;2019;60915;DEU000010077;vessel77;fkz77;2019-04-05;2019-04-05;DESPR;DESPR;SPR;t;
359;2019;60916;DEU000010077;vessel77;fkz77;2019-04-11;2019-04-12;DESPR;DESPR;SPR;t;
360;2019;60917;DEU000010077;vessel77;fkz77;2019-04-12;2019-04-12;DESPR;DESPR;SPR;t;
361;2019;90902;DEU000010077;vessel77;fkz77;2019-02-12;2019-02-13;DESPR;DESPR;SPR;t;
362;2019;60903;DEU000010078;vessel78;fkz78;2019-02-24;2019-02-24;DESPR;DESPR;SPR;t;
363;2019;60908;DEU000010078;vessel78;fkz78;2019-03-18;2019-03-18;DESPR;DESPR;SPR;t;
364;2019;60911;DEU000010078;vessel78;fkz78;2019-03-30;2019-03-30;DESPR;DESPR;SPR;t;
365;2019;60912;DEU000010078;vessel78;fkz78;2019-04-01;2019-04-01;DESPR;DESPR;SPR;t;
366;2019;60913;DEU000010078;vessel78;fkz78;2019-04-02;2019-04-02;DESPR;DESPR;SPR;t;
367;2019;80907;DEU000010078;vessel78;fkz78;2019-03-12;2019-03-12;DESPR;DESPR;SPR;t;
