ha_index	tr_index	year	quarter	month	haul	fo_start_date	fo_start_time	fo_end_date	fo_end_time	fishing_duration	fo_start_lat	fo_start_lon	fo_stop_lat	fo_stop_lon	fishing_distance	country	area_national	fao_area	rectangle	fishing_depth_min	fishing_depth_max	water_depth	gear_national	metier_lvl_5	metier_lvl_6	gear	mesh_size_range	selection_device	selection_device_mesh	target_species_group	target_species	number_species	total_catch	gear_addition	mesh_size	codend_mesh_size	footrope	footrope_length	jager_length	net_board_dist	net_horizontal	net_vertical	net_girth	curl_line_length	roller_diameter	beam_length	beam_chains	setnet_number	setnet_length	setnet_height	setnet_total_length	pinger	pinger_type	hooks	traps	wind_speed	wind_direction	cloud_cover	temperature_air	temperature_water	weather	light	currents	comments
11	5	2019	3	7	1						541877N	0135069E	541851N	0135154E	1	GFR	OSTSEE	27.3.D.24	37G3	13	13	15	GTR	GTR_DEF	GTR_DEF_110-156_0_0	STELLNETZ			0	DEF	604	1	49	 	130	-9	 	-9	-9	-9	40	2	-9	-9	-9	-9	-9	20						-9	-9	2	312	2	-9		1	1	2	
12	5	2019	3	7	1						541876N	0135079E	541899N	0135168E	1	GFR	OSTSEE	27.3.D.24	37G3	13	13	15	GTR	GTR_DEF	GTR_DEF_110-156_0_0	STELLNETZ			0	DEF	604	1	49	 	130	-9	 	-9	-9	-9	40	2	-9	-9	-9	-9	-9	20						-9	-9	2	315	2	-9		1	1	2	
13	6	2019	4	12	1						543835N	0131019E	543859N	0131027E	0	GFR	OSTSEE	27.3.D.24	38G3	12	17	17	GNS	GNS_DEF	GNS_DEF_110-156_0_0	BLATTNETZ			0	DEF	293	6	537	 	110	-9	 	-9	-9	-9	52	3,2	-9	-9	-9	-9	-9	-9						-9	-9	-9	-9		-9					
14	7	2019	1	3	1						543200N	0153100E	544200N	0154500E	13	GFR	OSTSEE	27.3.D.25	38G5	56	69	69	OTB	TTB_DEF	TTB_DEF_>=105_1_115	BALLON 260 #			1	DEF	604	5	833	 	-9	115	 	22	-9	-9	-9	3	260	-9	-9	-9	-9	-9						-9	-9	-9	-9	9	-9		9	1	9	
15	8	2019	1	1	1						544300N	0101000E	543600N	0100900E	7	GFR	OSTSEE	27.3.C.22	38G0	22	25	25	OTB	OTB_DEF	OTB_DEF_>=105_1_120				1	DEF	607	4	836	 	-9	120	 	24	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9						-9	-9	-9	-9	9	-9		9	1	9	
16	9	2019	2	4	5						543009N	0093445E	543009N	0093445E	0	GFR	OSTSEE	27.3.C.22	38F9	2	2	2	FYK	FYK_SPF	FYK_SPF_>0_0_0	REUSE			0	SPF	293	1	138	 	12	-9		-9	-9	-9	50	2	-9	-9	-9	-9	-9	1						-9	-9	-9	-9	9	-9		9	1	9	
17	10	2019	1	3	11						542700N	0134400E	543200N	0135200E	7	GFR	OSTSEE	27.3.D.24	37G3	17	23	23	PTM	PTM_SPF	PTM_SPF_32-104_0_0	TRAWL			0	SPF	181	1	47984	 	-9	32	 	42	-9	-9	-9	24	-9	-9	-9	-9	-9	-9						-9	-9	-9	-9	9	-9		9	1	9	
18	11	2019	2	4	1						542590N	0103700E	543230N	0104300E	7	GFR	OSTSEE	27.3.C.22	37G0	17	20	20	OTB	OTB_DEF	OTB_DEF_>=105_1_120	TV 300#			1	DEF	607	4	1298	 	-9	120	 	18	-9	-9	-9	2	-9	-9	-9	-9	-9	-9						-9	-9	-9	-9	9	-9		9	1	9	
19	12	2019	2	4	1						545900N	0184200E	550300N	0184800E	5	GFR	OSTSEE	27.3.D.26	38G8	91	94	94	OTB	OTB_DEF	OTB_DEF_>=105_1_120	 			1	DEF	293	2	3343	 	-9	118	 	45	-9	-9	-9	1,5	-9	-9	-9	-9	-9	-9						-9	-9	-9	-9	9	-9		9	1	9	
20	13	2019	1	1	1						540600N	011070E	541200N	0111500E	-9	GFR	OSTSEE	27.3.C.22	37G1	22	24	24	OTB	OTB_DEF	OTB_DEF_>=105_1_120	BACALAO			1	DEF	293	5	2600	 	-9	105	 	16	-9	-9	-9	2	-9	-9	-9	-9	-9	-9						-9	-9	-9	-9	9	-9		9	1	9	
21	14	2019	4	11	1						543824N	0130947E	544242N	0131624E	6	GFR	OSTSEE	27.3.D.24	38G3	14	27	27	OTB	OTB_DEF	OTB_DEF_>=105_1_120	TORPEDOTRAWL			1	DEF	607	6	3460	 	-9	120	 	12	-9	-9	-9	0,8	-9	-9	-9	-9	-9	-9						-9	-9	-9	-9	9	-9		9	1	9	
22	15	2019	1	2	1						540400N	0110400E	540700N	0111600E	8	GFR	OSTSEE	27.3.C.22	37G1	23	27	27	OTB	OTB_DEF	OTB_DEF_>=105_1_120	DORSCH 290#			1	DEF	607	4	1002	 	112	126	 	16	-9	-9	-9	1	-9	-9	-9	-9	-9	-9						-9	-9	-9	-9	9	-9		9	1	9	
23	16	2019	1	3	1						542750N	0111721E	542718N	0111731E	0	GFR	OSTSEE	27.3.C.22	37G1	7	9	9	GNS	GNS_DEF	GNS_DEF_110-156_0_0				0	DEF	293	6	25	 	120	-9	 	-9	-9	-9	50	2	-9	-9	-9	-9	-9	10						-9	-9	6	225	3	-9		1	1	3	
24	16	2019	1	3	1						542716N	0111731E	542675N	0111750E	0	GFR	OSTSEE	27.3.C.22	37G1	7	9	9	GNS	GNS_DEF	GNS_DEF_110-156_0_0				0	DEF	293	6	17	 	120	-9	 	-9	-9	-9	50	2	-9	-9	-9	-9	-9	10						-9	-9	6	225	3	-9		1	1	3	
25	16	2019	1	3	1						542626N	0111865E	542580N	0111880E	0	GFR	OSTSEE	27.3.C.22	37G1	7	9	9	GNS	GNS_DEF	GNS_DEF_110-156_0_0				0	DEF	293	3	57	 	120	-9	 	-9	-9	-9	50	2	-9	-9	-9	-9	-9	10						-9	-9	6	225	3	-9		1	1	3	
26	17	2019	2	5	1						542856N	0100344E	542841N	0100003E	2	GFR	OSTSEE	27.3.C.22	37G0	3	6	6	GNS	GNS_DEF	GNS_DEF_110-156_0_0				0	DEF	293	7	178	 	110	-9	 	-9	-9	-9	50	2	-9	-9	-9	-9	-9	75						-9	-9	4	225	2	-9		1	1	2	
27	17	2019	2	5	1						543012N	0100048E	543006N	0100230E	1	GFR	OSTSEE	27.3.C.22	37G0	11	15	15	GTR	GNS_DEF	GNS_DEF_110-156_0_0				0	DEF	293	5	146	 	160	-9	 	-9	-9	-9	50	2	-9	-9	-9	-9	-9	30						-9	-9	4	225	2	-9		1	1	2	
